1 100, 2 100
2 200, 3 100
3 200, 4 100
1 200, 5 100
5 200, 6 100
6 200, 7 100
7 200, 8 100
2 300, 6 300
3 300, 7 300
4 200, 8 200
5 300, 9 100
9 200, 10 100
10 200, 11 100
11 200, 12 100
6 400, 10 300
7 400, 11 300
8 300, 12 200
9 300, 13 100
13 200, 14 100
14 200, 15 100
15 200, 16 100
10 400, 14 300
11 400, 15 300
12 300, 16 200
14 400, 17 100
15 400, 18 100
16 300, 19 100
17 200, 18 200
18 300, 19 200
17 300, 20 100
20 200, 19 300
17 400, 21 100
20 300, 23 100
20 400, 22 100
19 400, 22 200
21 200, 23 200
23 300, 24 100
24 200, 22 300
25 100, 1 300
26 100, 1 400
27 100, 2 400
28 100, 2 500
29 100, 3 400
30 100, 3 500
31 100, 4 300
32 100, 4 400
33 100, 23 400
34 100, 23 500
35 100, 24 300
36 100, 24 400
37 100, 24 500
